Domain,Region,Element Code,Element,Item,Year,Unit,Flag,Flag Description,Area,Co2 Emissions,Temperature,Yield
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,United States of America,49504.629,0.504,15419064
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,United States of America,49577.1459,1.534,15466257
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,United States of America,47714.3392,2.229,15814716
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,United States of America,47213.2441,1.437,15469451
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,United States of America,47775.2351,1.278,15357556
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,United States of America,47429.3563,1.04,15949657
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Spain,4789.4416,1.488,12697610
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Spain,5110.7824,0.251,12591592
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Spain,5320.5188,0.352,13639925
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Spain,5272.3552,-0.012,13544482
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Spain,5418.3306,1.081,13423043
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Spain,5655.3161,1.474,13638493
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Spain,5677.4085,0.743,13979796
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Spain,5675.063,1.553,15558881
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Spain,5146.6574,1.208,15769742
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Spain,5822.8525,0.837,16513191
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Spain,6825.999,0.837,15353549
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Spain,6279.7049,1.44,16910729
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Spain,6210.2889,0.842,17968794
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Spain,7802.5681,1.626,18011960
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Spain,8912.5418,1.022,17825951
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Spain,8243.9641,0.906,17784510
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Spain,7171.508,1.541,17901373
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Spain,7626.366,0.847,18229466
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Spain,6802.5206,0.873,18140724
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Spain,5784.8077,1.36,17797691
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Spain,5745.4532,0.912,16440924
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Spain,6131.3986,1.623,16923440
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Spain,6900.6651,1.067,16830983
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Spain,7168.7195,0.918,16949819
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Spain,6729.4095,1.616,17558793
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Spain,5981.001,1.528,18380388
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Spain,6399.1763,1.713,17811048
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Spain,6465.0203,2.033,18323591
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Spain,6935.0219,1.141,16285534
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Spain,6976.1444,1.507,16690115
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Russian Federation,43797.5474,0.369,3060730
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Russian Federation,36617.299,0.96,2662725
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Russian Federation,36942.1926,0.584,2626915
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Russian Federation,39534.0634,2.113,2301623
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Russian Federation,28547.692,0.818,2567640
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Russian Federation,28185.715,1.285,2662178
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Russian Federation,24567.6607,-0.028,2782548
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Russian Federation,24804.7051,0.42,2563259
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Russian Federation,24000.0092,1.327,2607853
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Russian Federation,24110.5262,0.823,2623509
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Russian Federation,18903.0324,1.597,2623886
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Russian Federation,19384.853,1.002,2718104
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Russian Federation,18521.1787,1.409,2871659
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Russian Federation,19863.3969,1.718,3044515
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Russian Federation,19461.4448,0.57,3186553
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Russian Federation,21902.188,2.506,3398696
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Russian Federation,22448.851,2.238,3386158
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Russian Federation,18171.2691,1.202,3673241
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Russian Federation,17164.9906,0.89,3763808
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Russian Federation,20235.7778,1.714,3263485
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Russian Federation,17811.5362,1.941,3929082
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Russian Federation,17930.5886,1.183,3937747
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Russian Federation,20798.6668,1.772,4117549
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Russian Federation,19076.7868,2.259,4094128
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Russian Federation,17854.4639,2.471,4180015
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Russian Federation,18218.4692,2.142,4429883
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Russian Federation,18691.3824,2.058,4605705
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Russian Federation,18269.9255,2.192,4609487
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Russian Federation,18691.3824,2.259,4869030
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Portugal,1526.8607,1.417,6832552
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Portugal,1545.506,0.454,6490495
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Portugal,1525.2365,0.444,6577480
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Portugal,1500.25,-0.179,6890137
Crops and livestock products,World,5419,Yield,Agave fibres nes,1994,hg/ha,Fc,Calculated data,Portugal,1524.528,0.692,6616763
Crops and livestock products,World,5419,Yield,Agave fibres nes,1995,hg/ha,Fc,Calculated data,Portugal,1486.1589,1.673,6654170
Crops and livestock products,World,5419,Yield,Agave fibres nes,1996,hg/ha,Fc,Calculated data,Portugal,1510.6678,0.757,6731472
Crops and livestock products,World,5419,Yield,Agave fibres nes,1997,hg/ha,Fc,Calculated data,Portugal,1644.5206,1.596,6793041
Crops and livestock products,World,5419,Yield,Agave fibres nes,1998,hg/ha,Fc,Calculated data,Portugal,1823.4316,1.212,6789863
Crops and livestock products,World,5419,Yield,Agave fibres nes,1999,hg/ha,Fc,Calculated data,Portugal,1927.7631,0.625,7427773
Crops and livestock products,World,5419,Yield,Agave fibres nes,2000,hg/ha,Fc,Calculated data,Portugal,2147.0895,0.658,7368739
Crops and livestock products,World,5419,Yield,Agave fibres nes,2001,hg/ha,Fc,Calculated data,Portugal,1438.5828,1.166,7259675
Crops and livestock products,World,5419,Yield,Agave fibres nes,2002,hg/ha,Fc,Calculated data,Portugal,1314.5858,0.671,7754637
Crops and livestock products,World,5419,Yield,Agave fibres nes,2003,hg/ha,Fc,Calculated data,Portugal,1237.1908,1.446,7638751
Crops and livestock products,World,5419,Yield,Agave fibres nes,2004,hg/ha,Fc,Calculated data,Portugal,1611.1192,1.002,8111291
Crops and livestock products,World,5419,Yield,Agave fibres nes,2005,hg/ha,Fc,Calculated data,Portugal,1515.5846,0.966,7946632
Crops and livestock products,World,5419,Yield,Agave fibres nes,2006,hg/ha,Fc,Calculated data,Portugal,1136.895,1.536,8160997
Crops and livestock products,World,5419,Yield,Agave fibres nes,2007,hg/ha,Fc,Calculated data,Portugal,1250.2448,0.759,8443986
Crops and livestock products,World,5419,Yield,Agave fibres nes,2008,hg/ha,Fc,Calculated data,Portugal,1081.4772,0.637,8639940
Crops and livestock products,World,5419,Yield,Agave fibres nes,2009,hg/ha,Fc,Calculated data,Portugal,1048.4333,1.407,8743289
Crops and livestock products,World,5419,Yield,Agave fibres nes,2010,hg/ha,Fc,Calculated data,Portugal,1172.7424,1.13,8855655
Crops and livestock products,World,5419,Yield,Agave fibres nes,2011,hg/ha,Fc,Calculated data,Portugal,1062.5283,1.619,9660213
Crops and livestock products,World,5419,Yield,Agave fibres nes,2012,hg/ha,Fc,Calculated data,Portugal,1008.2666,0.791,9935216
Crops and livestock products,World,5419,Yield,Agave fibres nes,2013,hg/ha,Fc,Calculated data,Portugal,1042.4311,0.944,9520876
Crops and livestock products,World,5419,Yield,Agave fibres nes,2014,hg/ha,Fc,Calculated data,Portugal,1095.6789,1.351,10116153
Crops and livestock products,World,5419,Yield,Agave fibres nes,2015,hg/ha,Fc,Calculated data,Portugal,1127.2178,1.398,10389042
Crops and livestock products,World,5419,Yield,Agave fibres nes,2016,hg/ha,Fc,Calculated data,Portugal,1108.4451,1.681,9912731
Crops and livestock products,World,5419,Yield,Agave fibres nes,2017,hg/ha,Fc,Calculated data,Portugal,1142.1702,2.125,10184796
Crops and livestock products,World,5419,Yield,Agave fibres nes,2018,hg/ha,Fc,Calculated data,Portugal,1133.9937,0.883,10666070
Crops and livestock products,World,5419,Yield,Agave fibres nes,2019,hg/ha,Fc,Calculated data,Portugal,1141.6567,1.258,10912151
Crops and livestock products,World,5419,Yield,Agave fibres nes,1990,hg/ha,Fc,Calculated data,Poland,12253.0408,1.717,3999491
Crops and livestock products,World,5419,Yield,Agave fibres nes,1991,hg/ha,Fc,Calculated data,Poland,16593.7398,0.413,4231695
Crops and livestock products,World,5419,Yield,Agave fibres nes,1992,hg/ha,Fc,Calculated data,Poland,17850.1728,1.148,3832339
Crops and livestock products,World,5419,Yield,Agave fibres nes,1993,hg/ha,Fc,Calculated data,Poland,20227.8208,0.072,4451872
